Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
C2B,Airlines,Online,Annual Gold Plan,376,SINGAPORE,0.0,83.25,M,39,No
LWC,Travel Agency,Online,Annual Travel Protect Platinum,382,UNITED STATES,323.4,210.21,M,36,No
C2B,Airlines,Online,Annual Silver Plan,377,SINGAPORE,201.0,50.25,F,67,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,M,36,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,47.5,11.88,F,42,No
C2B,Airlines,Online,Silver Plan,138,SINGAPORE,35.4,8.85,F,29,No
RAB,Airlines,Online,Value Plan,31,BRUNEI DARUSSALAM,15.0,6.0,M,64,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,F,30,Yes
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,F,36,No
RAB,Airlines,Online,Value Plan,53,BRUNEI DARUSSALAM,23.0,9.2,F,29,No
JZI,Airlines,Online,Basic Plan,13,MYANMAR,33.0,11.55,M,63,No
JZI,Airlines,Online,Basic Plan,19,CHINA,22.0,7.7,F,36,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,259.2,64.8,M,59,No
JZI,Airlines,Online,Basic Plan,5,CAMBODIA,18.0,6.3,F,34,No
JZI,Airlines,Online,Basic Plan,25,CHINA,26.0,9.1,F,44,No
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,0.0,54.0,F,22,No
C2B,Airlines,Online,Annual Gold Plan,370,SINGAPORE,333.0,83.25,M,40,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,M,30,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,25.0,6.25,F,21,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,13.5,3.38,F,27,No
JZI,Airlines,Online,Basic Plan,18,HONG KONG,35.0,12.25,M,57,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,M,1,No
JZI,Airlines,Online,Basic Plan,21,HONG KONG,35.0,12.25,M,47,No
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,202.3,50.58,M,58,No
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,22.5,5.63,M,25,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,62.0,15.5,F,42,No
KML,Travel Agency,Online,Premier Plan,86,NETHERLANDS,171.0,64.98,M,48,No
JZI,Airlines,Online,Basic Plan,7,LAO PEOPLE'S DEMOCRATIC REPUBLIC,22.0,7.7,M,57,No
CCR,Travel Agency,Offline,Comprehensive Plan,8,THAILAND,29.0,9.57,M,118,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,20.0,5.0,F,35,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,364,CHINA,165.0,107.25,F,61,No
C2B,Airlines,Online,Gold Plan,37,SINGAPORE,69.0,17.25,M,63,No
C2B,Airlines,Online,Bronze Plan,55,SINGAPORE,25.5,6.38,F,24,No
C2B,Airlines,Online,Gold Plan,9,SINGAPORE,73.5,18.38,M,49,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,18.5,4.63,F,84,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,30.55,7.64,F,71,No
JZI,Airlines,Online,Basic Plan,104,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,34,No
JZI,Airlines,Online,Basic Plan,18,THAILAND,18.0,6.3,M,42,No
JZI,Airlines,Online,Value Plan,10,CHINA,45.0,15.75,F,44,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,11.5,2.88,M,30,No
JZI,Airlines,Online,Basic Plan,59,THAILAND,22.0,7.7,M,52,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,F,51,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,M,33,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,29.0,7.25,M,38,No
JZI,Airlines,Online,Basic Plan,80,MYANMAR,52.0,18.2,F,27,No
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,106.0,26.5,F,46,No
C2B,Airlines,Online,Bronze Plan,64,SINGAPORE,56.5,14.13,F,31,No
ART,Airlines,Online,24 Protect,5,SINGAPORE,20.0,7.0,M,48,No
ART,Airlines,Online,24 Protect,106,PHILIPPINES,5.62,1.97,M,48,No
JZI,Airlines,Online,Basic Plan,5,PHILIPPINES,18.0,6.3,M,47,No
LWC,Travel Agency,Online,Annual Travel Protect Platinum,369,UNITED STATES,404.25,262.76,F,51,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,11.5,2.88,F,73,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27.0,6.75,F,22,Yes
JZI,Airlines,Online,Basic Plan,56,CHINA,26.0,9.1,M,37,No
JZI,Airlines,Online,Basic Plan,17,MALAYSIA,22.0,7.7,M,66,No
JWT,Airlines,Online,Value Plan,31,INDIA,60.0,24.0,M,118,No
C2B,Airlines,Online,Silver Plan,45,SINGAPORE,72.0,18.0,F,58,No
JZI,Airlines,Online,Value Plan,11,THAILAND,39.0,13.65,M,48,No
C2B,Airlines,Online,Annual Gold Plan,368,SINGAPORE,333.0,83.25,M,62,No
JZI,Airlines,Online,Basic Plan,12,INDIA,35.0,12.25,M,55,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,18.0,4.5,M,34,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,14,SWITZERLAND,58.5,38.02,F,26,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,16,ARGENTINA,114.0,74.1,F,31,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,53.5,13.38,M,34,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,45.0,11.25,F,25,No
C2B,Airlines,Online,Annual Silver Plan,391,SINGAPORE,280.8,70.2,M,43,No
JZI,Airlines,Online,Basic Plan,58,HONG KONG,26.0,9.1,F,34,No
JZI,Airlines,Online,Basic Plan,26,THAILAND,33.0,11.55,M,44,No
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,280.8,70.2,M,53,No
JZI,Airlines,Online,Basic Plan,13,INDONESIA,18.0,6.3,F,33,No
JZI,Airlines,Online,Basic Plan,52,CHINA,0.0,19.6,M,36,No
JZI,Airlines,Online,Basic Plan,23,VIET NAM,0.0,7.7,F,49,No
JZI,Airlines,Online,Basic Plan,8,INDONESIA,22.0,7.7,M,52,No
JZI,Airlines,Online,Basic Plan,48,PHILIPPINES,37.0,12.95,F,38,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,32.4,8.1,F,38,No
JZI,Airlines,Online,Basic Plan,116,THAILAND,18.0,6.3,M,39,No
JZI,Airlines,Online,Value Plan,21,"KOREA, REPUBLIC OF",58.0,20.3,M,48,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,72,Yes
JZI,Airlines,Online,Basic Plan,38,INDIA,35.0,12.25,F,24,No
C2B,Airlines,Online,Annual Silver Plan,405,SINGAPORE,216.0,54.0,F,57,No
JZI,Airlines,Online,Basic Plan,15,VIET NAM,22.0,7.7,M,38,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,M,41,No
KML,Travel Agency,Online,Value Plan,16,SPAIN,75.0,28.5,M,48,No
C2B,Airlines,Online,Bronze Plan,49,SINGAPORE,33.5,8.38,F,81,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,44.85,11.21,F,54,No
JWT,Airlines,Online,Value Plan,48,INDIA,72.0,28.8,M,118,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,48.5,12.13,F,36,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,60.0,15.0,F,31,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,434,CHINA,204.6,132.99,F,42,No
JZI,Airlines,Online,Value Plan,29,SWEDEN,125.0,43.75,M,51,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,53,JAPAN,44.0,28.6,F,63,No
C2B,Airlines,Online,Silver Plan,55,SINGAPORE,109.0,27.25,F,48,No
C2B,Airlines,Online,Annual Silver Plan,373,SINGAPORE,216.0,54.0,F,33,No
JZI,Airlines,Online,Basic Plan,3,CAMBODIA,18.0,6.3,M,56,No
TST,Travel Agency,Offline,Travel Cruise Protect,108,MALAYSIA,0.0,10.5,M,32,No
JZI,Airlines,Online,Basic Plan,173,PHILIPPINES,37.0,12.95,F,35,No
C2B,Airlines,Online,Silver Plan,55,SINGAPORE,109.0,27.25,F,36,Yes
C2B,Airlines,Online,Silver Plan,49,SINGAPORE,72.0,18.0,M,47,No
C2B,Airlines,Online,Bronze Plan,38,SINGAPORE,34.5,8.63,M,29,No
JZI,Airlines,Online,Basic Plan,4,MALAYSIA,22.0,7.7,F,46,No
JZI,Airlines,Online,Basic Plan,21,CAMBODIA,22.0,7.7,M,29,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,402,SINGAPORE,97.0,0.0,M,31,No
JZI,Airlines,Online,Basic Plan,41,MALAYSIA,18.0,6.3,M,32,No
JZI,Airlines,Online,Basic Plan,26,CHINA,26.0,9.1,F,26,No
JWT,Airlines,Online,Value Plan,5,INDIA,62.0,24.8,M,118,No
C2B,Airlines,Online,Bronze Plan,176,SINGAPORE,29.5,7.38,F,57,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,3,MALAYSIA,26.5,17.23,F,32,No
JZI,Airlines,Online,Value Plan,166,CANADA,164.0,57.4,M,35,No
JZI,Airlines,Online,Basic Plan,84,MYANMAR,37.0,12.95,F,38,No
C2B,Airlines,Online,Bronze Plan,179,SINGAPORE,682.0,170.5,M,25,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,11.5,2.88,F,26,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,20.0,5.0,M,30,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,53.25,13.31,M,34,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,291.75,72.94,M,29,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,3,INDONESIA,26.5,17.23,M,48,No
JWT,Airlines,Online,Value Plan,5,INDIA,195.0,78.0,M,118,No
C2B,Airlines,Online,Silver Plan,72,SINGAPORE,93.6,23.4,F,26,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,18.5,4.63,F,54,No
C2B,Airlines,Online,Silver Plan,199,SINGAPORE,218.0,54.5,M,21,No
JWT,Airlines,Online,Value Plan,102,INDIA,-78.0,31.2,F,118,No
C2B,Airlines,Online,Silver Plan,30,SINGAPORE,88.5,22.13,F,28,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,13.5,3.38,F,30,No
JZI,Airlines,Online,Value Plan,46,UNITED KINGDOM,149.0,52.15,M,41,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,48.5,12.13,F,42,Yes
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,57.85,14.46,M,36,Yes
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,16.0,4.0,M,21,No
JZI,Airlines,Online,Basic Plan,59,CHINA,63.0,22.05,M,38,No
JWT,Airlines,Online,Value Plan,41,INDIA,31.0,12.4,M,118,No
C2B,Airlines,Online,Silver Plan,64,SINGAPORE,81.0,20.25,M,71,No
C2B,Airlines,Online,Annual Gold Plan,371,SINGAPORE,333.0,83.25,F,70,No
KML,Travel Agency,Online,Value Plan,57,DENMARK,75.0,28.5,M,48,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,22.5,5.63,F,25,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,15,AUSTRIA,67.0,43.55,F,58,No
JZI,Airlines,Online,Basic Plan,18,MALAYSIA,30.0,10.5,F,38,Yes
CBH,Travel Agency,Offline,Comprehensive Plan,60,MALAYSIA,29.0,9.57,F,68,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,F,71,No
ART,Airlines,Online,24 Protect,19,SINGAPORE,55.3,19.35,M,48,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,M,56,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,F,30,No
JZI,Airlines,Online,Basic Plan,59,INDONESIA,37.0,12.95,F,41,No
JWT,Airlines,Online,Value Plan,76,INDIA,120.0,48.0,F,118,No
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,24.05,6.01,F,54,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,40.5,10.13,F,32,No
C2B,Airlines,Online,Silver Plan,64,SINGAPORE,48.5,12.13,M,30,No
C2B,Airlines,Online,Bronze Plan,116,SINGAPORE,56.5,14.13,F,57,No
JZI,Airlines,Online,Basic Plan,8,INDONESIA,18.0,6.3,F,37,No
JZI,Airlines,Online,Basic Plan,38,HONG KONG,22.0,7.7,F,52,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,23.0,5.75,M,47,No
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,22.0,7.7,F,56,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,M,69,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,18.5,4.63,M,27,No
C2B,Airlines,Online,Gold Plan,21,SINGAPORE,103.5,25.88,F,37,No
JZI,Airlines,Online,Basic Plan,39,MYANMAR,30.0,10.5,F,70,No
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,216.0,54.0,M,41,No
ART,Airlines,Online,Value Plan,11,INDONESIA,29.0,10.15,M,118,No
JZI,Airlines,Online,Basic Plan,2,HONG KONG,22.0,7.7,F,26,No
RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15.0,6.0,M,52,No
JZI,Airlines,Online,Value Plan,25,"KOREA, REPUBLIC OF",58.0,20.3,M,32,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,16.0,4.0,F,55,No
JZI,Airlines,Online,Basic Plan,18,CHINA,26.0,9.1,M,56,No
C2B,Airlines,Online,Annual Silver Plan,371,SINGAPORE,216.0,54.0,F,46,No
JZI,Airlines,Online,Basic Plan,24,CHINA,22.0,7.7,M,33,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,241.5,60.38,F,70,No
TST,Travel Agency,Offline,Travel Cruise Protect,8,MALAYSIA,30.0,10.5,M,24,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,62.0,15.5,F,50,No
JZI,Airlines,Online,Basic Plan,32,MYANMAR,18.0,6.3,F,29,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,29.5,7.38,F,24,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,F,48,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,F,28,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,F,21,No
JZI,Airlines,Online,Basic Plan,35,THAILAND,22.0,7.7,F,45,No
JZI,Airlines,Online,Basic Plan,32,INDIA,35.0,12.25,F,33,No
JZI,Airlines,Online,Basic Plan,19,HONG KONG,26.0,9.1,M,57,No
JZI,Airlines,Online,Basic Plan,9,PHILIPPINES,18.0,6.3,F,35,No
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,35.5,8.88,F,29,No
JZI,Airlines,Online,Value Plan,11,"KOREA, REPUBLIC OF",69.0,24.15,M,43,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,F,30,No
JZI,Airlines,Offline,Premier Plan,53,INDONESIA,108.0,37.8,M,60,No
JZI,Airlines,Online,Basic Plan,42,THAILAND,22.0,7.7,M,34,No
JZI,Airlines,Online,Basic Plan,83,CHINA,22.0,7.7,M,29,No
C2B,Airlines,Online,Bronze Plan,99,SINGAPORE,15.0,3.75,M,43,No
C2B,Airlines,Online,Gold Plan,182,SINGAPORE,156.0,39.0,M,47,No
JZI,Airlines,Online,Value Plan,73,JAPAN,169.0,59.15,M,35,No
RAB,Airlines,Online,Value Plan,36,BRUNEI DARUSSALAM,31.0,12.4,M,40,No
JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,M,51,No
JZI,Airlines,Online,Basic Plan,50,CHINA,35.0,12.25,M,40,No
C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,216.0,54.0,M,41,No
JWT,Airlines,Online,Value Plan,26,INDIA,50.0,20.0,M,118,No
JZI,Airlines,Online,Basic Plan,120,THAILAND,22.0,7.7,F,60,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,50.0,12.5,F,45,No
TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30.0,10.5,M,58,No
JZI,Airlines,Online,Basic Plan,9,"KOREA, REPUBLIC OF",35.0,12.25,M,33,No
C2B,Airlines,Online,Gold Plan,70,SINGAPORE,91.0,22.75,F,30,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,388,UNITED STATES,229.8,149.37,F,53,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,45.0,11.25,M,63,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,F,33,No
JZI,Airlines,Online,Basic Plan,13,JAPAN,26.0,9.1,F,43,No
JZI,Airlines,Online,Basic Plan,19,THAILAND,22.0,7.7,F,31,No
TST,Travel Agency,Offline,Travel Cruise Protect,43,MALAYSIA,30.0,10.5,M,31,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,13.5,3.38,F,38,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,9,MALAYSIA,31.0,20.15,M,40,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,M,30,Yes
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,22.2,5.55,M,29,No
JZI,Airlines,Online,Basic Plan,8,INDONESIA,22.0,7.7,F,53,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,193.2,48.3,M,52,No
C2B,Airlines,Online,Bronze Plan,95,SINGAPORE,21.0,5.25,F,27,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,F,23,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.5,7.38,M,32,No
C2B,Airlines,Online,Annual Silver Plan,396,SINGAPORE,280.8,70.2,F,35,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,14.95,3.74,F,37,No
JZI,Airlines,Online,Basic Plan,2,INDONESIA,18.0,6.3,F,33,No
JZI,Airlines,Online,Basic Plan,10,CHINA,26.0,9.1,M,42,No
JZI,Airlines,Online,Basic Plan,10,JAPAN,35.0,12.25,F,74,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,27.0,6.75,F,46,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,M,29,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,373,UNITED STATES,256.2,166.53,F,37,No
JZI,Airlines,Online,Basic Plan,8,CHINA,26.0,9.1,M,55,No
C2B,Airlines,Online,Gold Plan,70,SINGAPORE,228.5,57.13,F,81,No
JZI,Airlines,Online,Basic Plan,43,MALAYSIA,22.0,7.7,F,52,No
JZI,Airlines,Online,Basic Plan,4,MYANMAR,18.0,6.3,F,31,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,22,"KOREA, REPUBLIC OF",26.5,17.23,F,76,Yes
C2B,Airlines,Online,Annual Silver Plan,401,SINGAPORE,252.85,63.21,M,28,No
JZI,Airlines,Online,Basic Plan,24,CHINA,35.0,12.25,M,35,No
C2B,Airlines,Online,Annual Silver Plan,375,SINGAPORE,216.0,54.0,M,26,No
JZI,Airlines,Online,Basic Plan,55,INDONESIA,37.0,12.95,F,34,No
TST,Travel Agency,Offline,Travel Cruise Protect,14,THAILAND,30.0,10.5,F,60,No
CBH,Travel Agency,Offline,Comprehensive Plan,61,MALAYSIA,29.0,9.57,M,27,No
CCR,Travel Agency,Offline,Comprehensive Plan,63,THAILAND,29.0,9.57,F,118,No
JZI,Airlines,Online,Basic Plan,12,INDONESIA,18.0,6.3,F,28,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,30.0,10.5,F,45,No
JZI,Airlines,Online,Basic Plan,12,CHINA,22.0,7.7,M,45,No
JZI,Airlines,Online,Basic Plan,51,MALAYSIA,22.0,7.7,M,56,No
C2B,Airlines,Online,Silver Plan,56,SINGAPORE,22.5,5.63,F,68,No
JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,M,61,No
TST,Travel Agency,Offline,Travel Cruise Protect,17,MALAYSIA,30.0,10.5,M,64,No
C2B,Airlines,Online,Bronze Plan,62,SINGAPORE,51.0,12.75,F,23,Yes
CCR,Travel Agency,Offline,Comprehensive Plan,92,CHINA,50.0,16.5,F,67,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,29.5,7.38,F,35,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,F,22,Yes
JZI,Airlines,Online,Basic Plan,45,PHILIPPINES,42.0,14.7,F,45,No
JZI,Airlines,Online,Basic Plan,51,HONG KONG,22.0,7.7,M,35,No
C2B,Airlines,Online,Bronze Plan,45,SINGAPORE,61.5,15.38,F,56,No
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,29.5,7.38,M,25,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,54.5,13.63,M,46,No
JZI,Airlines,Online,Basic Plan,113,PHILIPPINES,69.0,24.15,F,34,No
JZI,Airlines,Online,Basic Plan,75,THAILAND,30.0,10.5,F,21,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,M,73,No
JZI,Airlines,Online,Basic Plan,0,VIET NAM,18.0,6.3,M,58,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,106,JAPAN,56.0,36.4,M,20,No
C2B,Airlines,Online,Annual Gold Plan,364,SINGAPORE,389.35,97.34,M,31,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,35.0,8.75,F,57,No
C2B,Airlines,Online,Annual Silver Plan,409,SINGAPORE,252.85,63.21,F,20,No
C2B,Airlines,Online,Bronze Plan,74,SINGAPORE,100.8,25.2,M,30,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,22.5,5.63,M,29,No
C2B,Airlines,Online,Gold Plan,5,SINGAPORE,53.25,13.31,M,33,No
RAB,Airlines,Online,Value Plan,28,BRUNEI DARUSSALAM,23.0,9.2,M,56,No
JZI,Airlines,Online,Basic Plan,48,HONG KONG,26.0,9.1,M,49,No
TST,Travel Agency,Offline,Travel Cruise Protect,94,THAILAND,30.0,10.5,F,55,No
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,252.85,63.21,M,58,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,13.5,3.38,M,25,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,14.95,3.74,F,43,No
CCR,Travel Agency,Offline,Comprehensive Plan,11,MALAYSIA,29.0,9.57,F,118,No
JZI,Airlines,Online,Value Plan,25,HONG KONG,83.0,29.05,F,30,No
JZI,Airlines,Online,Basic Plan,28,INDONESIA,30.0,10.5,F,30,No
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,40.0,10.0,F,33,Yes
LWC,Travel Agency,Online,Annual Travel Protect Silver,366,UNITED STATES,287.25,186.71,M,32,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,33.5,8.38,F,65,No
JZI,Airlines,Online,Basic Plan,14,INDONESIA,18.0,6.3,M,51,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,F,22,No
ART,Airlines,Online,24 Protect,1,MALAYSIA,8.28,2.9,M,48,No
JZI,Airlines,Online,Value Plan,10,CHINA,58.0,20.3,M,46,No
C2B,Airlines,Online,Gold Plan,48,SINGAPORE,99.45,24.86,F,58,No
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,80.6,20.15,M,46,No
JZI,Airlines,Online,Basic Plan,52,INDONESIA,22.0,7.7,F,29,No
JZI,Airlines,Online,Basic Plan,44,HONG KONG,22.0,7.7,M,31,No
C2B,Airlines,Online,Silver Plan,107,SINGAPORE,54.5,13.63,F,34,No
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,252.85,63.21,M,57,No
JZI,Airlines,Online,Basic Plan,8,INDONESIA,18.0,6.3,M,42,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,47.5,11.88,M,28,No
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,252.85,63.21,M,34,No
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,20.5,5.13,F,33,No
JZI,Airlines,Online,Basic Plan,15,CHINA,35.0,12.25,F,56,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,18,SWITZERLAND,67.0,43.55,F,44,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,161.0,40.25,M,35,No
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,259.2,64.8,F,30,No
JZI,Airlines,Online,Basic Plan,37,THAILAND,22.0,7.7,F,31,No
JZI,Airlines,Online,Basic Plan,65,PHILIPPINES,22.0,7.7,M,41,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,F,35,No
TST,Travel Agency,Offline,Travel Cruise Protect,22,THAILAND,30.0,10.5,F,73,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,18.5,4.63,M,33,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.05,6.01,M,29,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,72.0,18.0,F,32,No
JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,M,32,No
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,16.0,4.0,M,35,No
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,33.0,11.55,M,45,No
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,M,41,No
C2B,Airlines,Online,Gold Plan,9,SINGAPORE,89.25,22.31,F,28,No
RAB,Airlines,Online,Value Plan,25,BRUNEI DARUSSALAM,31.0,12.4,M,38,No
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,56.5,14.13,F,61,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,16.0,4.0,M,31,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,32.5,8.13,M,26,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,17.0,4.25,F,26,No
JZI,Airlines,Online,Basic Plan,4,CHINA,26.0,9.1,M,46,No
C2B,Airlines,Online,Bronze Plan,72,SINGAPORE,69.55,17.39,F,30,No
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,18.0,6.3,F,40,No
C2B,Airlines,Online,Bronze Plan,60,SINGAPORE,30.55,7.64,F,73,No
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,F,31,Yes
JZI,Airlines,Online,Basic Plan,14,VIET NAM,18.0,6.3,M,42,No
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,F,50,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,M,63,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,41.5,10.38,F,29,No
JZI,Airlines,Online,Basic Plan,22,MYANMAR,22.0,7.7,M,48,No
JZI,Airlines,Online,Basic Plan,15,INDONESIA,22.0,7.7,M,25,No
RAB,Airlines,Online,Value Plan,1,BRUNEI DARUSSALAM,15.0,6.0,M,26,No
JZI,Airlines,Online,Value Plan,35,JAPAN,58.0,20.3,M,35,No
