Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,49.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.5,5.88,F,22.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,61.0,THAILAND,29.0,9.57,M,73.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,33.5,8.38,F,36.0
C2B,Airlines,Online,Bronze Plan,Yes,405.0,SINGAPORE,161.0,40.25,M,57.0
JZI,Airlines,Online,Basic Plan,No,53.0,INDONESIA,22.0,7.7,M,22.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,48.5,12.13,F,42.0
C2B,Airlines,Online,Silver Plan,No,10.0,SINGAPORE,41.0,10.25,F,52.0
C2B,Airlines,Online,Silver Plan,Yes,9.0,SINGAPORE,29.0,7.25,F,30.0
C2B,Airlines,Online,Annual Silver Plan,Yes,380.0,SINGAPORE,252.85,63.21,F,58.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,26.0,9.1,F,54.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,48.0
C2B,Airlines,Online,Bronze Plan,Yes,39.0,SINGAPORE,40.0,10.0,F,27.0
JZI,Airlines,Online,Basic Plan,No,8.0,INDONESIA,22.0,7.7,F,40.0
C2B,Airlines,Online,Gold Plan,Yes,21.0,SINGAPORE,103.5,25.88,F,37.0
ART,Airlines,Online,24 Protect,No,11.0,SINGAPORE,99.45,24.86,M,48.0
C2B,Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,53.0,13.25,F,60.0
C2B,Airlines,Online,Bronze Plan,No,25.0,SINGAPORE,23.5,5.88,M,26.0
JZI,Airlines,Online,Basic Plan,Yes,18.0,MALAYSIA,30.0,10.5,F,38.0
C2B,Airlines,Online,Silver Plan,Yes,10.0,SINGAPORE,29.5,7.38,F,30.0
TST,Travel Agency,Offline,Travel Cruise Protect,Yes,112.0,MALAYSIA,30.0,10.5,F,64.0
JZI,Airlines,Online,Basic Plan,Yes,28.0,PHILIPPINES,30.0,10.5,M,32.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,41.0
C2B,Airlines,Online,Silver Plan,Yes,49.0,SINGAPORE,72.0,18.0,F,37.0
RAB,Airlines,Online,Value Plan,No,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,47.0
JZI,Airlines,Online,Basic Plan,No,22.0,INDONESIA,30.0,10.5,M,37.0
C2B,Airlines,Online,Bronze Plan,No,24.0,SINGAPORE,53.0,13.25,F,64.0
JZI,Airlines,Online,Basic Plan,No,16.0,MYANMAR,22.0,7.7,M,54.0
C2B,Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,29.5,7.38,F,28.0
C2B,Airlines,Online,Annual Silver Plan,Yes,381.0,SINGAPORE,259.2,64.8,F,30.0
C2B,Airlines,Online,Annual Gold Plan,Yes,371.0,SINGAPORE,287.4,71.85,F,30.0
JZI,Airlines,Online,Basic Plan,Yes,39.0,THAILAND,30.0,10.5,F,55.0
C2B,Airlines,Online,Bronze Plan,Yes,72.0,SINGAPORE,69.55,17.39,M,63.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.5,5.88,M,22.0
C2B,Airlines,Online,Silver Plan,Yes,2.0,SINGAPORE,18.5,4.63,M,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,216.0,54.0,F,38.0
RAB,Airlines,Online,Value Plan,No,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,25.0
JZI,Airlines,Online,Basic Plan,Yes,24.0,CHINA,44.0,15.4,F,35.0
C2B,Airlines,Online,Silver Plan,No,55.0,SINGAPORE,22.5,5.63,F,31.0
RAB,Airlines,Online,Value Plan,No,18.0,BRUNEI DARUSSALAM,15.0,6.0,M,47.0
C2B,Airlines,Online,Bronze Plan,No,76.0,SINGAPORE,27.0,6.75,F,28.0
JZI,Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,18.0,6.3,F,27.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,252.85,63.21,F,41.0
C2B,Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,16.0,4.0,F,28.0
C2B,Airlines,Online,Bronze Plan,Yes,4.0,SINGAPORE,16.0,4.0,F,30.0
JZI,Airlines,Online,Basic Plan,No,21.0,CAMBODIA,22.0,7.7,F,29.0
C2B,Airlines,Online,Bronze Plan,Yes,7.0,SINGAPORE,39.0,9.75,M,57.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,29.5,7.38,M,30.0
C2B,Airlines,Online,Silver Plan,No,3.0,SINGAPORE,24.05,6.01,M,54.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,23.0
C2B,Airlines,Online,Bronze Plan,Yes,7.0,SINGAPORE,29.5,7.38,M,31.0
C2B,Airlines,Online,Bronze Plan,Yes,10.0,SINGAPORE,40.5,10.13,M,23.0
JZI,Airlines,Online,Basic Plan,No,59.0,HONG KONG,26.0,9.1,F,35.0
JZI,Airlines,Online,Basic Plan,No,13.0,SRI LANKA,26.0,9.1,M,56.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,M,26.0
JZI,Airlines,Online,Basic Plan,Yes,18.0,MALAYSIA,18.0,6.3,F,38.0
JZI,Airlines,Online,Basic Plan,No,50.0,UNITED ARAB EMIRATES,22.0,7.7,M,35.0
C2B,Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,216.0,54.0,M,36.0
C2B,Airlines,Online,Silver Plan,No,16.0,SINGAPORE,18.5,4.63,M,22.0
C2B,Airlines,Online,Annual Silver Plan,No,374.0,SINGAPORE,216.0,54.0,M,39.0
C2B,Airlines,Online,Bronze Plan,Yes,72.0,SINGAPORE,30.55,7.64,M,31.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,27.0,6.75,F,30.0
JZI,Airlines,Online,Basic Plan,No,35.0,THAILAND,37.0,12.95,M,38.0
JZI,Airlines,Online,Basic Plan,No,42.0,THAILAND,0.0,10.5,F,33.0
C2B,Airlines,Online,Silver Plan,Yes,7.0,SINGAPORE,22.5,5.63,M,59.0
C2B,Airlines,Online,Silver Plan,No,12.0,SINGAPORE,32.5,8.13,M,30.0
JZI,Airlines,Online,Basic Plan,No,5.0,MYANMAR,18.0,6.3,M,73.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,216.0,54.0,M,34.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,72.0,18.0,F,42.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,21.0,5.25,M,32.0
C2B,Airlines,Online,Bronze Plan,Yes,18.0,SINGAPORE,20.0,5.0,M,30.0
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,No,11.0,JAPAN,36.5,23.73,M,48.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,48.5,12.13,F,42.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,216.0,54.0,M,34.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,62.0,15.5,F,42.0
JZI,Airlines,Online,Basic Plan,No,8.0,CHINA,26.0,9.1,F,44.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,41.0
JZI,Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,22.0,7.7,F,63.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,187.85,46.96,F,22.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,M,28.0
C2B,Airlines,Online,Silver Plan,Yes,4.0,SINGAPORE,22.5,5.63,M,20.0
JZI,Airlines,Online,Basic Plan,No,3.0,CHINA,22.0,7.7,F,59.0
JZI,Airlines,Online,Basic Plan,No,32.0,PHILIPPINES,52.0,18.2,M,32.0
C2B,Airlines,Online,Bronze Plan,No,35.0,SINGAPORE,96.0,24.15,M,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,50.0
JZI,Airlines,Online,Basic Plan,No,44.0,MYANMAR,30.0,10.5,F,31.0
C2B,Airlines,Online,Annual Silver Plan,Yes,368.0,SINGAPORE,216.0,54.0,M,30.0
C2B,Airlines,Online,Bronze Plan,Yes,28.0,SINGAPORE,40.0,10.0,M,53.0
C2B,Airlines,Online,Bronze Plan,Yes,19.0,SINGAPORE,40.5,10.13,F,30.0
C2B,Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,M,41.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,41.0
JZI,Airlines,Online,Basic Plan,No,28.0,PHILIPPINES,22.0,7.7,M,40.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,376.0,SINGAPORE,291.75,72.94,M,38.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,49.0,12.25,F,42.0
JZI,Airlines,Online,Basic Plan,No,5.0,THAILAND,18.0,6.3,M,58.0
C2B,Airlines,Online,Bronze Plan,Yes,4.0,SINGAPORE,14.95,3.74,F,30.0
C2B,Airlines,Online,Bronze Plan,No,176.0,SINGAPORE,29.5,7.38,F,44.0
C2B,Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,16.0,4.0,F,28.0
C2B,Airlines,Online,Bronze Plan,Yes,177.0,SINGAPORE,34.5,8.63,F,68.0
C2B,Airlines,Online,Bronze Plan,Yes,15.0,SINGAPORE,13.5,3.38,M,23.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,F,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,24.0
C2B,Airlines,Online,Annual Silver Plan,Yes,48.0,SINGAPORE,287.4,71.85,M,47.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,53.5,13.38,F,32.0
JZI,Airlines,Online,Basic Plan,No,7.0,THAILAND,18.0,6.3,F,35.0
C2B,Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,23.4,5.85,M,37.0
C2B,Airlines,Online,Silver Plan,No,13.0,SINGAPORE,48.5,12.13,F,45.0
C2B,Airlines,Online,Silver Plan,Yes,45.0,SINGAPORE,61.5,15.38,F,22.0
JZI,Airlines,Online,Basic Plan,No,7.0,THAILAND,33.0,11.55,M,63.0
TST,Travel Agency,Offline,Travel Cruise Protect,No,8.0,THAILAND,30.0,10.5,F,60.0
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,No,3.0,CHINA,26.5,17.23,M,37.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,30.55,7.64,F,30.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,30.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,216.0,54.0,F,40.0
C2B,Airlines,Online,Silver Plan,No,70.0,SINGAPORE,40.5,10.13,F,23.0
JZI,Airlines,Online,Value Plan,No,25.0,HONG KONG,58.0,20.3,M,49.0
JZI,Airlines,Online,Basic Plan,No,17.0,INDONESIA,18.0,6.3,M,33.0
JZI,Airlines,Online,Basic Plan,No,22.0,HONG KONG,26.0,9.1,M,57.0
JZI,Airlines,Online,Basic Plan,No,16.0,INDIA,35.0,12.25,M,42.0
JZI,Airlines,Online,Basic Plan,No,7.0,CHINA,35.0,12.25,M,49.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,M,62.0
C2B,Airlines,Online,Silver Plan,Yes,7.0,SINGAPORE,22.5,5.63,M,36.0
JZI,Airlines,Online,Basic Plan,No,59.0,PHILIPPINES,37.0,12.95,F,39.0
KML,Travel Agency,Online,Premier Plan,No,11.0,BRAZIL,130.0,49.4,F,48.0
C2B,Airlines,Online,Silver Plan,No,7.0,SINGAPORE,22.0,5.55,F,32.0
JZI,Airlines,Online,Value Plan,No,9.0,VIET NAM,58.0,20.3,M,38.0
JZI,Airlines,Online,Basic Plan,No,48.0,PHILIPPINES,42.0,14.7,M,40.0
C2B,Airlines,Online,Silver Plan,Yes,3.0,SINGAPORE,27.0,4.25,M,36.0
C2B,Airlines,Online,Gold Plan,Yes,36.0,SINGAPORE,52.8,13.2,F,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,216.0,54.0,F,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,F,40.0
JZI,Airlines,Online,Value Plan,No,18.0,UNITED STATES,121.0,42.35,M,35.0
C2B,Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,13.5,3.38,M,24.0
C2B,Airlines,Online,Bronze Plan,Yes,10.0,SINGAPORE,53.25,13.31,M,34.0
C2B,Airlines,Online,Bronze Plan,Yes,14.0,SINGAPORE,30.55,7.64,M,33.0
JZI,Airlines,Online,Value Plan,No,41.0,INDIA,31.0,12.4,F,118.0
JZI,Airlines,Online,Value Plan,Yes,9.0,JAPAN,45.0,15.75,F,37.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,30.55,7.64,M,37.0
ART,Airlines,Online,24 Protect,Yes,5.0,HONG KONG,56.15,19.65,F,48.0
JZI,Airlines,Online,Basic Plan,No,5.0,CHINA,26.0,9.1,F,34.0
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,No,51.0,THAILAND,26.0,16.9,M,65.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,29.5,7.38,M,22.0
C2B,Airlines,Online,Silver Plan,Yes,7.0,SINGAPORE,24.5,6.13,M,33.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,39.0,9.75,F,51.0
JZI,Airlines,Online,Basic Plan,No,3.0,INDONESIA,22.0,7.7,M,31.0
JZI,Airlines,Online,Basic Plan,Yes,52.0,INDONESIA,22.0,7.7,F,54.0
C2B,Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,16.0,4.0,F,25.0
JZI,Airlines,Online,Value Plan,No,13.0,KOREA,45.0,15.75,M,57.0
C2B,Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,259.2,64.8,F,50.0
C2B,Airlines,Online,Silver Plan,No,20.0,SINGAPORE,29.5,7.38,F,25.0
C2B,Airlines,Online,Silver Plan,No,5.0,SINGAPORE,49.2,12.3,M,21.0
JZI,Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,M,31.0
JZI,Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,59.0
JZI,Airlines,Online,Basic Plan,No,10.0,CHINA,22.0,7.7,F,42.0
C2B,Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,M,50.0
C2B,Airlines,Online,Bronze Plan,Yes,11.0,SINGAPORE,39.0,9.75,F,43.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,23.5,5.88,F,35.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,47.0
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,No,18.0,SINGAPORE,31.85,11.21,F,54.0
C2B,Airlines,Online,Silver Plan,Yes,39.0,SINGAPORE,72.0,18.0,F,27.0
C2B,Airlines,Online,Annual Silver Plan,Yes,394.0,SINGAPORE,216.0,54.0,M,40.0
C2B,Airlines,Online,Silver Plan,Yes,5.0,SINGAPORE,24.5,6.13,F,28.0
JZI,Airlines,Online,Basic Plan,Yes,8.0,CHINA,22.0,7.7,F,35.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,33.5,8.38,F,65.0
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,364.0,CHINA,165.0,107.25,F,27.0
C2B,Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,72.0,18.0,F,22.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,41.0
C2B,Airlines,Online,Bronze Plan,No,39.0,SINGAPORE,40.0,10.0,F,43.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,51.0,12.75,M,26.0
C2B,Airlines,Online,Bronze Plan,Yes,40.0,SINGAPORE,57.85,14.46,F,20.0
JZI,Airlines,Online,Basic Plan,Yes,15.0,PHILIPPINES,33.0,11.55,F,38.0
C2B,Airlines,Online,Bronze Plan,Yes,18.0,SINGAPORE,47.0,11.75,M,28.0
JZI,Airlines,Online,Value Plan,No,81.0,HONG KONG,69.0,24.15,F,34.0
C2B,Airlines,Online,Silver Plan,Yes,70.0,SINGAPORE,218.0,54.5,F,22.0
C2B,Airlines,Online,Silver Plan,Yes,14.0,SINGAPORE,29.0,7.25,F,24.0
JZI,Airlines,Online,Basic Plan,No,3.0,THAILAND,18.0,6.3,F,47.0
JZI,Airlines,Online,Basic Plan,No,16.0,MALAYSIA,22.0,7.7,M,44.0
C2B,Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,17.55,4.39,M,29.0
JZI,Airlines,Online,Basic Plan,No,48.0,CHINA,40.0,14.0,F,28.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,M,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,368.0,SINGAPORE,216.0,54.0,F,39.0
C2B,Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,216.0,54.0,F,22.0
C2B,Airlines,Online,Annual Silver Plan,Yes,369.0,SINGAPORE,252.85,63.21,M,57.0
C2B,Airlines,Online,Silver Plan,No,10.0,SINGAPORE,39.0,9.75,F,38.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,34.0
C2B,Airlines,Online,Silver Plan,No,4.0,SINGAPORE,18.5,4.63,M,28.0
C2B,Airlines,Online,Bronze Plan,No,39.0,SINGAPORE,40.0,10.0,F,27.0
JZI,Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,22.0,7.7,F,55.0
C2B,Airlines,Online,Annual Silver Plan,Yes,401.0,SINGAPORE,252.85,63.21,F,28.0
JZI,Airlines,Online,Value Plan,No,13.0,SRI LANKA,36.0,12.6,M,48.0
C2B,Airlines,Online,Bronze Plan,Yes,90.0,SINGAPORE,69.55,17.39,M,30.0
C2B,Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,17.55,4.39,F,36.0
C2B,Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,23.5,5.88,F,43.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,22.0
C2B,Airlines,Online,Bronze Plan,No,3.0,SINGAPORE,14.95,3.74,M,43.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,216.0,54.0,F,39.0
C2B,Airlines,Online,Silver Plan,Yes,10.0,SINGAPORE,45.5,11.38,F,26.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,F,33.0
C2B,Airlines,Online,Silver Plan,No,14.0,SINGAPORE,22.5,5.63,M,41.0
JZI,Airlines,Online,Basic Plan,No,38.0,VIET NAM,22.0,7.7,M,55.0
C2B,Airlines,Online,Silver Plan,No,33.0,SINGAPORE,62.0,15.5,F,42.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,53.0,13.25,F,28.0
RAB,Airlines,Online,Value Plan,Yes,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,22.0
C2B,Airlines,Online,Silver Plan,No,42.0,SINGAPORE,49.0,12.25,F,33.0
C2B,Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,16.0,4.0,M,44.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,216.0,54.0,F,71.0
C2B,Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,30.55,7.64,F,28.0
JZI,Airlines,Online,Basic Plan,No,23.0,THAILAND,22.0,7.7,M,44.0
JZI,Airlines,Online,Basic Plan,No,16.0,HONG KONG,26.0,9.1,M,49.0
JZI,Airlines,Online,Basic Plan,No,8.0,VIET NAM,18.0,6.3,M,40.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,26.0,9.1,M,38.0
JZI,Airlines,Online,Basic Plan,No,9.0,VIET NAM,18.0,6.3,M,57.0
C2B,Airlines,Online,Silver Plan,No,10.0,SINGAPORE,29.5,7.38,M,22.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,23.5,5.88,F,57.0
C2B,Airlines,Online,Annual Silver Plan,Yes,380.0,SINGAPORE,252.85,63.21,M,58.0
C2B,Airlines,Online,Silver Plan,No,6.0,SINGAPORE,22.5,5.63,M,25.0
C2B,Airlines,Online,Silver Plan,No,7.0,SINGAPORE,29.5,7.38,F,21.0
C2B,Airlines,Online,Gold Plan,Yes,90.0,SINGAPORE,81.5,20.38,F,30.0
JZI,Airlines,Online,Value Plan,No,21.0,KOREA,58.0,20.3,F,48.0
C2B,Airlines,Online,Annual Silver Plan,Yes,383.0,SINGAPORE,259.2,64.8,F,41.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,M,38.0
JZI,Airlines,Online,Silver Plan,Yes,38.0,SINGAPORE,42.0,10.5,F,41.0
C2B,Airlines,Online,Annual Silver Plan,No,382.0,SINGAPORE,216.0,54.0,M,32.0
JZI,Airlines,Online,Basic Plan,No,6.0,THAILAND,22.0,7.7,F,49.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,161.0,40.25,F,33.0
C2B,Airlines,Online,Gold Plan,No,12.0,SINGAPORE,49.0,12.25,F,59.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,F,30.0
C2B,Airlines,Online,Gold Plan,Yes,60.0,SINGAPORE,109.0,49.25,F,31.0
C2B,Airlines,Online,Annual Silver Plan,Yes,405.0,SINGAPORE,216.0,54.0,M,30.0
JZI,Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,37.0,12.95,M,35.0
C2B,Airlines,Online,Silver Plan,No,3.0,SINGAPORE,18.5,4.63,F,26.0
JZI,Airlines,Online,Basic Plan,No,9.0,CHINA,22.0,7.7,M,55.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,27.0,6.75,F,27.0
JZI,Airlines,Online,Basic Plan,No,2.0,THAILAND,18.0,6.3,M,33.0
JZI,Airlines,Online,Basic Plan,Yes,7.0,THAILAND,39.0,13.65,M,38.0
C2B,Airlines,Online,Silver Plan,No,14.0,SINGAPORE,109.0,27.25,M,29.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,216.0,54.0,F,26.0
JZI,Airlines,Online,Basic Plan,No,8.0,CHINA,22.0,7.7,M,59.0
C2B,Airlines,Online,Silver Plan,Yes,39.0,SINGAPORE,43.55,10.89,F,28.0
C2B,Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,M,24.0
C2B,Airlines,Online,Silver Plan,Yes,38.0,SINGAPORE,41.5,10.63,F,24.0
C2B,Airlines,Online,Bronze Plan,Yes,31.0,SINGAPORE,56.5,14.13,F,23.0
C2B,Airlines,Online,Bronze Plan,No,2.0,SINGAPORE,13.5,3.38,M,33.0
C2B,Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,41.3,10.32,F,55.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,30.55,7.64,F,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,371.0,SINGAPORE,187.85,46.96,F,28.0
JZI,Airlines,Online,Basic Plan,Yes,25.0,HONG KONG,22.0,7.7,M,36.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,259.2,64.8,F,30.0
JZI,Airlines,Online,Basic Plan,Yes,18.0,HONG KONG,26.0,9.1,M,55.0
JZI,Airlines,Online,Basic Plan,No,109.0,PHILIPPINES,22.0,7.7,M,47.0
C2B,Airlines,Online,Silver Plan,Yes,9.0,SINGAPORE,49.0,12.25,F,68.0
C2B,Airlines,Online,Silver Plan,Yes,28.0,SINGAPORE,39.0,9.75,F,67.0
C2B,Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,216.0,54.0,F,35.0
C2B,Airlines,Online,Gold Plan,Yes,182.0,SINGAPORE,156.0,39.0,F,47.0
C2B,Airlines,Online,Bronze Plan,Yes,10.0,SINGAPORE,41.0,10.25,F,26.0
JZI,Airlines,Online,Basic Plan,No,2.0,INDONESIA,18.0,6.3,M,46.0
C2B,Airlines,Online,Silver Plan,Yes,30.0,SINGAPORE,88.5,22.13,F,26.0
JZI,Airlines,Online,Basic Plan,No,6.0,CHINA,22.0,7.7,M,31.0
C2B,Airlines,Online,Bronze Plan,Yes,29.0,SINGAPORE,21.0,5.25,F,71.0
C2B,Airlines,Online,Silver Plan,No,17.0,SINGAPORE,62.0,15.5,M,42.0
C2B,Airlines,Online,Bronze Plan,No,3.0,SINGAPORE,11.5,2.88,M,27.0
C2B,Airlines,Online,Bronze Plan,Yes,19.0,SINGAPORE,0.0,11.88,F,31.0
JZI,Airlines,Online,Basic Plan,No,15.0,HONG KONG,22.0,7.7,M,23.0
C2B,Airlines,Online,Bronze Plan,No,23.0,SINGAPORE,62.0,15.5,F,49.0
JZI,Airlines,Online,Basic Plan,No,56.0,THAILAND,22.0,7.7,F,44.0
C2B,Airlines,Online,Annual Gold Plan,Yes,364.0,SINGAPORE,389.35,97.34,M,31.0
C2B,Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,F,40.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,22.0,7.7,F,44.0
JZI,Airlines,Online,Basic Plan,No,4.0,VIET NAM,18.0,6.3,M,49.0
JZI,Airlines,Online,Value Plan,No,18.0,INDIA,69.0,24.15,M,29.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,161.0,40.25,M,33.0
C2B,Airlines,Online,Gold Plan,Yes,420.0,SINGAPORE,42.5,10.63,F,30.0
C2B,Airlines,Online,Silver Plan,No,21.0,SINGAPORE,34.8,8.7,F,35.0
C2B,Airlines,Online,Bronze Plan,No,19.0,SINGAPORE,29.5,7.38,F,34.0
C2B,Airlines,Online,Silver Plan,No,48.0,SINGAPORE,72.0,18.0,F,26.0
C2B,Airlines,Online,Bronze Plan,Yes,60.0,SINGAPORE,40.5,10.13,F,22.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,259.2,64.8,F,30.0
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,23.5,5.88,F,26.0
JZI,Airlines,Online,Basic Plan,No,9.0,PHILIPPINES,18.0,6.3,M,62.0
JZI,Airlines,Online,Value Plan,Yes,12.0,CHINA,35.0,12.25,M,52.0
C2B,Airlines,Online,Silver Plan,Yes,90.0,SINGAPORE,47.5,11.88,F,32.0
JZI,Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,50.0
JZI,Airlines,Online,Basic Plan,Yes,73.0,CHINA,26.0,9.1,M,51.0
C2B,Airlines,Online,Silver Plan,No,6.0,SINGAPORE,29.5,7.38,M,33.0
